id,timestamp,vehicle_id,latitude,longitude,altitude,speed,rpm,engine_temp,throttle_pos,engine_load,fuel_level,fl_pressure,fl_temp,fl_battery,fr_pressure,fr_temp,fr_battery,rl_pressure,rl_temp,rl_battery,rr_pressure,rr_temp,rr_battery
175,2025-11-07 04:27:58+00,4d106730-1088-4892-9045-ffeebc4d23bc,-6.975843333,107.6473963,696.5,7,1014,87,17.64706,41.17647,,,,,,,,,,,,,
176,2025-11-07 04:28:03+00,4d106730-1088-4892-9045-ffeebc4d23bc,-6.975853833,107.6475195,700.4,5,973,87,17.64706,41.56863,,,,,,,,,,,,,
177,2025-11-07 04:28:08+00,4d106730-1088-4892-9045-ffeebc4d23bc,-6.975876167,107.6476002,706.8,4,1442,86,24.31373,80,,,,,,,,,,,,,
178,2025-11-07 04:28:13+00,4d106730-1088-4892-9045-ffeebc4d23bc,-6.9758975,107.6476507,709.6,12,666,86,20.78431,90.98039,,,,,,,,,,,,,
179,2025-11-07 04:28:18+00,4d106730-1088-4892-9045-ffeebc4d23bc,-6.975898833,107.6477845,709.5,14,772,86,17.64706,52.94118,,,,,,,,,,,,,
180,2025-11-07 04:28:23+00,4d106730-1088-4892-9045-ffeebc4d23bc,-6.975923333,107.6479458,700.7,12,1012,86,17.2549,38.43137,,,,,,,,,,,,,
181,2025-11-07 04:28:38+00,4d106730-1088-4892-9045-ffeebc4d23bc,-6.975934167,107.6480607,690.3,1,1786,86,21.56863,55.29412,,,,,,,,,,,,,
182,2025-11-07 04:28:43+00,4d106730-1088-4892-9045-ffeebc4d23bc,-6.975932833,107.6480847,691,10,1421,86,21.56863,66.27451,,,,,,,,,,,,,
183,2025-11-07 04:28:48+00,4d106730-1088-4892-9045-ffeebc4d23bc,-6.975948833,107.6481993,688.8,14,745,86,16.07843,30.58824,,,,,,,,,,,,,
184,2025-11-07 04:28:53+00,4d106730-1088-4892-9045-ffeebc4d23bc,-6.975983667,107.648351,689.2,13,716,87,17.2549,52.15686,,,,,,,,,,,,,
185,2025-11-07 04:28:58+00,4d106730-1088-4892-9045-ffeebc4d23bc,-6.9760065,107.6484995,689.4,13,673,87,17.2549,54.90196,,,,,,,,,,,,,
186,2025-11-07 04:29:03+00,4d106730-1088-4892-9045-ffeebc4d23bc,-6.9760325,107.6486722,687.8,9,571,87,20.78431,96.47059,,,,,,,,,,,,,
